Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.03747842759077,8.383316031051327e-07
164.52374695419385,-6.3276112312324075,1.7152305040278543e-06
180.45375541231755,-6.646209513129766,2.9366252999453302e-06
197.92618661593409,-6.996063950319142,4.033060162748718e-06
217.09038561605675,-7.38024515261105,5.146078296959838e-06
238.11015779522984,-7.802120530128289,6.304718705050279e-06
261.1651689888373,-8.265385987392609,7.588640817803719e-06
286.45248117312485,-8.774108298387649,8.969059945467018e-06
314.18823684618803,-9.332739162060118,1.0472973889015655e-05
344.60950649911035,-9.946164915351114,1.2159015414329952e-05
377.97631496846196,-10.619761983038348,1.407368744419072e-05
414.57386399033265,-11.359430757241624,1.6229967766171095e-05
454.71496995311946,-12.171660273807772,1.8584701813006015e-05
498.7427376856724,-13.06356944201003,2.1185068126826464e-05
547.0334931349296,-14.042963432474101,2.4146489971468267e-05
599.9999999999997,-15.118420138389657,2.7436335440946646e-05
