Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.021661745277155,1.1107573320292602e-05
164.52374695419385,-6.311811030259003,1.1996291474766694e-05
180.45375541231755,-6.6304477634174335,1.295206771566844e-05
197.92618661593409,-6.9803605151038655,1.3974451591753157e-05
217.09038561605675,-7.364620554692211,1.5065059844533221e-05
238.11015779522984,-7.786593395592516,1.6252415833429017e-05
261.1651689888373,-8.249977095559688,1.7545570533441396e-05
286.45248117312485,-8.758837052517054,1.8900727083553055e-05
314.18823684618803,-9.31764221036749,2.0339153178497037e-05
344.60950649911035,-9.931294436938812,2.1870711858740302e-05
377.97631496846196,-10.605163523315047,2.3526522998299563e-05
414.57386399033265,-11.34515568261897,2.5320835569285927e-05
454.71496995311946,-12.157774328467221,2.721889223472564e-05
498.7427376856724,-13.05015198049046,2.92107297798569e-05
547.0334931349296,-14.030096308139159,3.132209547545131e-05
599.9999999999997,-15.106188655362711,3.3958637353710345e-05
