Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.017130238745077,1.1629829389986638e-06
164.52374695419385,-6.3076522434508195,1.878858221336085e-06
180.45375541231755,-6.626677900175285,2.9513578768947704e-06
197.92618661593409,-6.977000452172781,3.9641269716408105e-06
217.09038561605675,-7.361694415876497,5.04455323540721e-06
238.11015779522984,-7.784130587500127,6.191096672674816e-06
261.1651689888373,-8.24800819680938,7.545023617937881e-06
286.45248117312485,-8.757389608023344,8.981265499879427e-06
314.18823684618803,-9.316738308169915,1.0526133847825378e-05
344.60950649911035,-9.930957284228619,1.2261004747360965e-05
377.97631496846196,-10.605423175011875,1.414972727344165e-05
414.57386399033265,-11.34604104268811,1.6280991162917346e-05
454.71496995311946,-12.159301876889831,1.865014291813753e-05
498.7427376856724,-13.052331949336036,2.128467851547864e-05
547.0334931349296,-14.032948786984722,2.4198503062594248e-05
599.9999999999997,-15.109731070108927,2.7525495770763186e-05
