Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.016074510667407,1.494185755911478e-06
164.52374695419385,-6.305744390151821,2.5401491215569494e-06
180.45375541231755,-6.623835112517801,4.137813045346276e-06
197.92618661593409,-6.973135109433031,5.714065105614094e-06
217.09038561605675,-7.356707992391923,7.221154303247419e-06
238.11015779522984,-7.777914914123673,8.841929943681944e-06
261.1651689888373,-8.240443525384041,1.0661663124450735e-05
286.45248117312485,-8.748345301841155,1.261519023851023e-05
314.18823684618803,-9.306075135773622,1.4821171520896847e-05
344.60950649911035,-9.91851537485694,1.7262183513626016e-05
377.97631496846196,-10.591039488277698,2.000102077478505e-05
414.57386399033265,-11.329539959452987,2.312499835697443e-05
454.71496995311946,-12.14047455827225,2.652134510536447e-05
498.7427376856724,-13.030950997735198,3.0260782889513416e-05
547.0334931349296,-14.008771689999113,3.449863891553873e-05
599.9999999999997,-15.082508597799915,3.9121501205984986e-05
