Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.00699999511119,1.6478107593790184e-05
164.52374695419385,-6.2967915984514695,1.7832544815901328e-05
180.45375541231755,-6.6150379073290395,1.931791240472802e-05
197.92618661593409,-6.964519588226611,2.089653784763899e-05
217.09038561605675,-7.348300642065164,2.2592906738637008e-05
238.11015779522984,-7.769749656842562,2.4400047766174788e-05
261.1651689888373,-8.232568930865968,2.6356321387106096e-05
286.45248117312485,-8.74082242956901,2.848000083115664e-05
314.18823684618803,-9.298969915132965,3.074130866684986e-05
344.60950649911035,-9.911910441887393,3.319018874367986e-05
377.97631496846196,-10.585015310780092,3.579134239064327e-05
414.57386399033265,-11.324168219114874,3.854563399965321e-05
454.71496995311946,-12.135857939490618,4.148471121947049e-05
498.7427376856724,-13.027211350919387,4.4679523679128826e-05
547.0334931349296,-14.006047436985611,4.8048777285491476e-05
599.9999999999997,-15.080963106857222,5.213789188411108e-05
