Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.999746597888318,2.007745321385703e-06
164.52374695419385,-6.289715754840506,2.9293320414226382e-06
180.45375541231755,-6.608130865537483,4.3776355124889314e-06
197.92618661593409,-6.957786467068969,5.80747227952805e-06
217.09038561605675,-7.341753552847531,7.355938910062547e-06
238.11015779522984,-7.7633896787184185,8.99119147935908e-06
261.1651689888373,-8.226388352122468,1.0808156241401052e-05
286.45248117312485,-8.734807096123788,1.279626541677308e-05
314.18823684618803,-9.293096897005347,1.5017672226192515e-05
344.60950649911035,-9.906154854188348,1.7482848306458658e-05
377.97631496846196,-10.579342762718117,2.022377284851761e-05
414.57386399033265,-11.318561371850908,2.3289763169315402e-05
454.71496995311946,-12.130291123650515,2.6671900337574408e-05
498.7427376856724,-13.021635533250798,3.0378938286141704e-05
547.0334931349296,-14.000410364271763,3.451821985027525e-05
599.9999999999997,-15.075173959931087,3.920106244204815e-05
