Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.9914937996922255,1.7029669221204395e-06
164.52374695419385,-6.281378391701256,2.714855055318029e-06
180.45375541231755,-6.5997054287467165,4.278899432743687e-06
197.92618661593409,-6.949266191609984,5.7735696933114135e-06
217.09038561605675,-7.333123405360669,7.332193317152612e-06
238.11015779522984,-7.75463803655943,9.02568875138225e-06
261.1651689888373,-8.217508944110211,1.0886100904548406e-05
286.45248117312485,-8.725788929050463,1.2916569804516118e-05
314.18823684618803,-9.283928838974127,1.5084303967387793e-05
344.60950649911035,-9.89682636194289,1.750584180036952e-05
377.97631496846196,-10.569846773179155,2.0247784090181883e-05
414.57386399033265,-11.308883591731997,2.3234944316081363e-05
454.71496995311946,-12.120407161974255,2.655982681288486e-05
498.7427376856724,-13.011528119115596,3.0292545414668972e-05
547.0334931349296,-13.990063468485616,3.4388558309098026e-05
599.9999999999997,-15.064559543829963,3.9013991996054007e-05
