Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.99012293361095,2.297832966469893e-05
164.52374695419385,-6.280181133540517,2.4579596452449974e-05
180.45375541231755,-6.5987871819494925,2.6280952106869066e-05
197.92618661593409,-6.948746814549674,2.832151471245985e-05
217.09038561605675,-7.3331197126341845,3.057702645687451e-05
238.11015779522984,-7.7552522484739495,3.302882821961425e-05
261.1651689888373,-8.218844685400777,3.5706917773174475e-05
286.45248117312485,-8.727964808061667,3.856524335044298e-05
314.18823684618803,-9.287073716495412,4.169257138581505e-05
344.60950649911035,-9.901074611668289,4.517661268059931e-05
377.97631496846196,-10.575353762156901,4.8985093146622135e-05
414.57386399033265,-11.315821428003314,5.313813219846775e-05
454.71496995311946,-12.128989789934815,5.7592195940070796e-05
498.7427376856724,-13.021994689279628,6.246721757267027e-05
547.0334931349296,-14.002675283290568,6.766175278060833e-05
599.9999999999997,-15.079401288277964,7.375461760167641e-05
