Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.99851746450367,1.7392291912648015e-06
164.52374695419385,-6.2884907221784685,2.7127030049157627e-06
180.45375541231755,-6.606913033172205,4.250502281163548e-06
197.92618661593409,-6.956577964043649,5.755986491779719e-06
217.09038561605675,-7.340548068475239,7.270175719825182e-06
238.11015779522984,-7.762183866513686,8.89094604509413e-06
261.1651689888373,-8.225188112228162,1.0652175948742469e-05
286.45248117312485,-8.733618623017135,1.2672555160052698e-05
314.18823684618803,-9.291923257278082,1.4934272745971712e-05
344.60950649911035,-9.904990911213755,1.7367347817637435e-05
377.97631496846196,-10.578182447448304,2.0019734320263995e-05
414.57386399033265,-11.317405276694533,2.2947577320366127e-05
454.71496995311946,-12.129142358095459,2.627275888257162e-05
498.7427376856724,-13.020491503975041,2.996741494560824e-05
547.0334931349296,-13.99926719702041,3.4076167423255486e-05
599.9999999999997,-15.074045305038473,3.865744927937402e-05
