Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.998955621080087,1.8136957335397194e-06
164.52374695419385,-6.2889316944148055,2.8009802578607064e-06
180.45375541231755,-6.607361203171402,4.333460906691645e-06
197.92618661593409,-6.957038583313509,5.7815650472303665e-06
217.09038561605675,-7.341021958140044,7.321094034132789e-06
238.11015779522984,-7.762675129828267,8.944765374146347e-06
261.1651689888373,-8.225686094046095,1.0717525639398284e-05
286.45248117312485,-8.734120777752825,1.2705121422020514e-05
314.18823684618803,-9.292434149595435,1.4908152002810937e-05
344.60950649911035,-9.90550942263264,1.72822183772372e-05
377.97631496846196,-10.578728055251734,1.9961039249409625e-05
414.57386399033265,-11.317979984020887,2.2912419037903182e-05
454.71496995311946,-12.129740674632735,2.630309254319372e-05
498.7427376856724,-13.021120211171475,3.0020099310438105e-05
547.0334931349296,-13.999934372278398,3.410720060362517e-05
599.9999999999997,-15.074752230960522,3.8704163478890765e-05
