Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.998745426658359,1.8951868080265123e-05
164.52374695419385,-6.28902272968862,2.0500302945870877e-05
180.45375541231755,-6.607826059348371,2.2243507914940857e-05
197.92618661593409,-6.9579267575020625,2.4147333857690155e-05
217.09038561605675,-7.34238996591599,2.620138355228123e-05
238.11015779522984,-7.764583547023902,2.8434655271654533e-05
261.1651689888373,-8.228211629829165,3.0861886610134696e-05
286.45248117312485,-8.737343133759143,3.3466091792392366e-05
314.18823684618803,-9.296429059635141,3.627246297325307e-05
344.60950649911035,-9.910372624802369,3.9345399495835335e-05
377.97631496846196,-10.584554623516079,4.264829130609043e-05
414.57386399033265,-11.324893048239506,4.6230022353609296e-05
454.71496995311946,-12.137883241969014,5.006510316074757e-05
498.7427376856724,-13.030645785001337,5.424379505940116e-05
547.0334931349296,-14.01101526705003,5.875886951279471e-05
599.9999999999997,-15.087467519967594,6.400794483445195e-05
