Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.990282645731559,1.6985711792861856e-06
164.52374695419385,-6.280161866953524,2.6950201360331916e-06
180.45375541231755,-6.598484533903988,4.254134675429141e-06
197.92618661593409,-6.948044749961308,5.726515403735748e-06
217.09038561605675,-7.331898760512819,7.2797191033709415e-06
238.11015779522984,-7.753411969505723,8.93686932692338e-06
261.1651689888373,-8.216281034688844,1.0713683975686165e-05
286.45248117312485,-8.724557379519577,1.2699635254179912e-05
314.18823684618803,-9.282696893902731,1.488004902018935e-05
344.60950649911035,-9.895583816696274,1.730501419370943e-05
377.97631496846196,-10.568591872708843,2.001410214528408e-05
414.57386399033265,-11.307622200403028,2.3022829540976374e-05
454.71496995311946,-12.11914191031426,2.635185228859416e-05
498.7427376856724,-13.010261013625817,3.005668965087019e-05
547.0334931349296,-13.988788904761872,3.421454217505443e-05
599.9999999999997,-15.063291835023879,3.888197713725329e-05
