Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.998649049084594,1.6925585977495925e-05
164.52374695419385,-6.288843885624628,1.8174446352268235e-05
180.45375541231755,-6.60758468456614,1.958245769829759e-05
197.92618661593409,-6.9576473472702105,2.1165189776312064e-05
217.09038561605675,-7.34207656867689,2.2861805325595913e-05
238.11015779522984,-7.764239675712625,2.4675611535402487e-05
261.1651689888373,-8.22783425702895,2.6620454598640255e-05
286.45248117312485,-8.736919481371114,2.8730869426099702e-05
314.18823684618803,-9.295967576630481,3.0984014757977663e-05
344.60950649911035,-9.909873028609443,3.343266548053302e-05
377.97631496846196,-10.584009129214783,3.607334619616605e-05
414.57386399033265,-11.32429381834389,3.888153258858138e-05
454.71496995311946,-12.137230621754565,4.185054812338866e-05
498.7427376856724,-13.029950961743031,4.5030932716462355e-05
547.0334931349296,-14.010263645665319,4.842932902387056e-05
599.9999999999997,-15.086621887175799,5.2594952860277096e-05
