Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.020463841968293,1.2247647398786995e-06
164.52374695419385,-6.31058661691703,1.9293855355492545e-06
180.45375541231755,-6.629176000812771,3.0273195184442007e-06
197.92618661593409,-6.9790287477465185,4.089915277602241e-06
217.09038561605675,-7.3632060404207795,5.184215474432427e-06
238.11015779522984,-7.785071691736651,6.3896069781819455e-06
261.1651689888373,-8.24832644818412,7.676862491172345e-06
286.45248117312485,-8.757027943289586,9.13530701753587e-06
314.18823684618803,-9.315636582749786,1.0728406164267351e-05
344.60950649911035,-9.929046143437954,1.2462430799920145e-05
377.97631496846196,-10.60262812831511,1.4435591712718286e-05
414.57386399033265,-11.342283494823679,1.6596767133118417e-05
454.71496995311946,-12.154493731765221,1.902240849504839e-05
498.7427376856724,-13.046369890903389,2.169463929883565e-05
547.0334931349296,-14.025725243310637,2.4631039146960127e-05
599.9999999999997,-15.101139873675596,2.7938336343130887e-05
