Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.021143848159333,1.2605168230883268e-05
164.52374695419385,-6.3114354549565626,1.3644418893530948e-05
180.45375541231755,-6.630234352147175,1.4764786971445236e-05
197.92618661593409,-6.980342856472388,1.596407278681926e-05
217.09038561605675,-7.364827525350665,1.727205807776749e-05
238.11015779522984,-7.787055132458029,1.871080430755628e-05
261.1651689888373,-8.250731114380903,2.0263561831083266e-05
286.45248117312485,-8.759916860421107,2.1925082590315362e-05
314.18823684618803,-9.319075294178084,2.3739594597730838e-05
344.60950649911035,-9.933122979820055,2.5672918936411815e-05
377.97631496846196,-10.607452074213812,2.772943475680796e-05
414.57386399033265,-11.347962820195653,2.9952037549197157e-05
454.71496995311946,-12.16113854032661,3.235489588342515e-05
498.7427376856724,-13.054106610998033,3.498165026000933e-05
547.0334931349296,-14.034701325075067,3.778297307596055e-05
599.9999999999997,-15.11149715191271,4.1104946969849756e-05
