Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.992568286624239,1.7464587903803423e-06
164.52374695419385,-6.2823060783218505,2.7624455524543354e-06
180.45375541231755,-6.600475807455313,4.311930855128614e-06
197.92618661593409,-6.949867045902546,5.7806032578077014e-06
217.09038561605675,-7.333539267955321,7.309278645400085e-06
238.11015779522984,-7.75485607292769,8.995649081882548e-06
261.1651689888373,-8.217503285414264,1.0828259909486449e-05
286.45248117312485,-8.725535726409488,1.2834543890339782e-05
314.18823684618803,-9.28340853277398,1.5026685829378885e-05
344.60950649911035,-9.896007760179032,1.7423533846799095e-05
377.97631496846196,-10.568702767098582,2.0154367673171586e-05
414.57386399033265,-11.307384975183181,2.3189019487594363e-05
454.71496995311946,-12.118529558184692,2.6572479540090287e-05
498.7427376856724,-13.009242887193068,3.032149529779138e-05
547.0334931349296,-13.98732592129397,3.4501852915313416e-05
599.9999999999997,-15.061343712189693,3.920286914276417e-05
