Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.995525206832354,1.9003805036484303e-06
164.52374695419385,-6.285394072072481,2.8472544195689636e-06
180.45375541231755,-6.6037082695463525,4.38389039463645e-06
197.92618661593409,-6.953251372749911,5.92612044199065e-06
217.09038561605675,-7.337088124819393,7.47553971069782e-06
238.11015779522984,-7.7585813500502026,9.114705833778874e-06
261.1651689888373,-8.221422816498604,1.0918850035256088e-05
286.45248117312485,-8.729677522279328,1.2968050384430421e-05
314.18823684618803,-9.287796565451044,1.5203541460226644e-05
344.60950649911035,-9.900660882381347,1.766529546553486e-05
377.97631496846196,-10.573639402389304,2.0319059239548928e-05
414.57386399033265,-11.312629883355005,2.33224595320813e-05
454.71496995311946,-12.124104765139123,2.665689426521871e-05
498.7427376856724,-13.015180391950995,3.0406327492192944e-05
547.0334931349296,-13.993657960175758,3.455796415267634e-05
599.9999999999997,-15.068103720205126,3.9237734407924716e-05
