Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0139473058743125,1.2319353373620591e-05
164.52374695419385,-6.304581405821448,1.3350790568265723e-05
180.45375541231755,-6.623748011220625,1.4446582320784215e-05
197.92618661593409,-6.974253200855983,1.561517767116472e-05
217.09038561605675,-7.359169748008576,1.68757378955384e-05
238.11015779522984,-7.781870306170963,1.821818215928249e-05
261.1651689888373,-8.24607068216903,1.9692917459572578e-05
286.45248117312485,-8.75584951487543,2.127654979266734e-05
314.18823684618803,-9.31567657123038,2.298747523657791e-05
344.60950649911035,-9.930445926111918,2.4841359418741766e-05
377.97631496846196,-10.605531864290517,2.679807894537975e-05
414.57386399033265,-11.34686095500027,2.8936234980721677e-05
454.71496995311946,-12.160926836164245,3.127253342895572e-05
498.7427376856724,-13.054868552376883,3.3793543891643074e-05
547.0334931349296,-14.03654042813356,3.648189158981768e-05
599.9999999999997,-15.114513203119051,3.967796644639247e-05
