Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0247528925605,1.2167141234788944e-05
164.52374695419385,-6.3150727918899605,1.3163715879678263e-05
180.45375541231755,-6.633905140684928,1.4226309112071964e-05
197.92618661593409,-6.984043067326911,1.5386925463718062e-05
217.09038561605675,-7.368548614235247,1.6638351963163508e-05
238.11015779522984,-7.790800699337693,1.7982873777333028e-05
261.1651689888373,-8.254498859397641,1.9447779609284737e-05
286.45248117312485,-8.763696619371279,2.1004476037944345e-05
314.18823684618803,-9.322862185060302,2.2700137236218045e-05
344.60950649911035,-9.936894525410352,2.4546262575254347e-05
377.97631496846196,-10.6111664376553,2.6551723856837328e-05
414.57386399033265,-11.35158867415146,2.869502499242811e-05
454.71496995311946,-12.164655850775457,3.0957307825353784e-05
498.7427376856724,-13.0575005873886,3.3358971998871603e-05
547.0334931349296,-14.037957234479673,3.594782253203934e-05
599.9999999999997,-15.114593181113264,3.908560966598346e-05
