Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0266288981399985,1.3318120921123927e-06
164.52374695419385,-6.3167898711923876,2.017391300730667e-06
180.45375541231755,-6.635421928226601,3.0882662044484882e-06
197.92618661593409,-6.9853150268676485,4.1225546222336185e-06
217.09038561605675,-7.369536290978691,5.244883981410933e-06
238.11015779522984,-7.7914528075029015,6.413516995540699e-06
261.1651689888373,-8.254759250052329,7.679969348239617e-06
286.45248117312485,-8.763518364851995,9.096984555597844e-06
314.18823684618803,-9.322183999571443,1.0669429264385387e-05
344.60950649911035,-9.935654839172734,1.239769050349634e-05
377.97631496846196,-10.609307920695672,1.4338673017199453e-05
414.57386399033265,-11.349038283359556,1.6472439380861922e-05
454.71496995311946,-12.161321604691027,1.8800704058587692e-05
498.7427376856724,-13.053283537592103,2.14462065471467e-05
547.0334931349296,-14.032730249032094,2.442756515433089e-05
599.9999999999997,-15.108228010939524,2.7737046097916434e-05
