Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0020453764939266,1.582997074090696e-06
164.52374695419385,-6.291919525562023,2.6499100432712453e-06
180.45375541231755,-6.61023469480524,4.207926746983666e-06
197.92618661593409,-6.9597815753969625,5.724153552642797e-06
217.09038561605675,-7.343620223440423,7.30479178967467e-06
238.11015779522984,-7.765118498441057,8.958381688131213e-06
261.1651689888373,-8.227970673087299,1.0800696709924878e-05
286.45248117312485,-8.736230812201182,1.2819816763007837e-05
314.18823684618803,-9.294356771987507,1.502785931276378e-05
344.60950649911035,-9.907235952247586,1.7450534283041482e-05
377.97631496846196,-10.58023804558999,2.0193463879528913e-05
414.57386399033265,-11.31925546597023,2.3252748904396105e-05
454.71496995311946,-12.130760347694729,2.6583319190761614e-05
498.7427376856724,-13.021856761876231,3.039651103206232e-05
547.0334931349296,-14.000342225494876,3.462906158384207e-05
599.9999999999997,-15.074802376807877,3.93356352867217e-05
