Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.002811360495474,1.7339259329151992e-05
164.52374695419385,-6.292905211468756,1.8761304240759022e-05
180.45375541231755,-6.611504129358202,2.031054604951607e-05
197.92618661593409,-6.961380657169142,2.197240129958856e-05
217.09038561605675,-7.345613594125835,2.3757709968267488e-05
238.11015779522984,-7.767561614591257,2.56648489508675e-05
261.1651689888373,-8.230927975397773,2.773473620793305e-05
286.45248117312485,-8.73978970038081,2.998414256879858e-05
314.18823684618803,-9.298585780648422,3.243681788276299e-05
344.60950649911035,-9.912216305986016,3.500278280604045e-05
377.97631496846196,-10.586071492877341,3.771088896445679e-05
414.57386399033265,-11.326067260762295,4.067206405768181e-05
454.71496995311946,-12.138686243396393,4.387632705934969e-05
498.7427376856724,-13.031045268370642,4.7290681009139817e-05
547.0334931349296,-14.010990416424221,5.1008619754724256e-05
599.9999999999997,-15.087080687294975,5.545997942921821e-05
