Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.017014870730353,1.370290158265483e-06
164.52374695419385,-6.3075199791663055,2.054466289046666e-06
180.45375541231755,-6.626529532548767,3.1097358623333387e-06
197.92618661593409,-6.9768403124249305,4.141849430030112e-06
217.09038561605675,-7.36151663335512,5.219612432758911e-06
238.11015779522984,-7.783930707664863,6.387813225162373e-06
261.1651689888373,-8.247785887513984,7.668459527508061e-06
286.45248117312485,-8.757142711760473,9.070777369476434e-06
314.18823684618803,-9.316461703546036,1.0637698388527366e-05
344.60950649911035,-9.930647037571411,1.2389456131481369e-05
377.97631496846196,-10.605074408016218,1.4298751942006901e-05
414.57386399033265,-11.345646531861993,1.64106137459935e-05
454.71496995311946,-12.158860469440283,1.87617187759558e-05
498.7427376856724,-13.0518378894245,2.138324838733536e-05
547.0334931349296,-14.032393915131454,2.4315647504069412e-05
599.9999999999997,-15.109120276713764,2.7552829911075778e-05
