Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.017266797348605,1.158057490179714e-05
164.52374695419385,-6.307931072738393,1.2449799524356482e-05
180.45375541231755,-6.627152965453838,1.3401844521688732e-05
197.92618661593409,-6.9777354332782195,1.4414084495429453e-05
217.09038561605675,-7.362741401886689,1.5498763353545484e-05
238.11015779522984,-7.785541901041242,1.6686536078104886e-05
261.1651689888373,-8.249839143904962,1.798893871667238e-05
286.45248117312485,-8.759694081575105,1.939415503825704e-05
314.18823684618803,-9.319578158209447,2.0898640707337674e-05
344.60950649911035,-9.934406866274355,2.2516223294714742e-05
377.97631496846196,-10.609563255803394,2.428956826492397e-05
414.57386399033265,-11.350964729124666,2.617707501750574e-05
454.71496995311946,-12.165121582930485,2.8142237970488593e-05
498.7427376856724,-13.05915770410815,3.0260407825084394e-05
547.0334931349296,-14.040889683742922,3.252917183567481e-05
599.9999999999997,-15.118862017175022,3.531392288154692e-05
