Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0171826239519985,1.2497514381830196e-05
164.52374695419385,-6.307924480778272,1.3481641460494746e-05
180.45375541231755,-6.627207021005343,1.4569665931833578e-05
197.92618661593409,-6.9778307041708585,1.5760869815603555e-05
217.09038561605675,-7.362865104021095,1.7058608496917884e-05
238.11015779522984,-7.785680350530685,1.843216991173841e-05
261.1651689888373,-8.249985188422361,1.994037430544491e-05
286.45248117312485,-8.75984617708955,2.1579049277094305e-05
314.18823684618803,-9.319729791599846,2.3336348726402682e-05
344.60950649911035,-9.934533651794391,2.5243603648939613e-05
377.97631496846196,-10.609650009825085,2.7290226320362663e-05
414.57386399033265,-11.351008203536948,2.951525258817509e-05
454.71496995311946,-12.165088797627865,3.1904320442020606e-05
498.7427376856724,-13.059017633814538,3.44857441192972e-05
547.0334931349296,-14.040635943598918,3.7270329080313794e-05
599.9999999999997,-15.118479168672831,4.0560827803388646e-05
