Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.01561941663659,1.216231551021973e-05
164.52374695419385,-6.306243651116098,1.3141091500170442e-05
180.45375541231755,-6.6254225876125945,1.4150652494641395e-05
197.92618661593409,-6.975947740797411,1.5227170728236519e-05
217.09038561605675,-7.360877651279457,1.6359967866946477e-05
238.11015779522984,-7.7835921242844766,1.7588982487528527e-05
261.1651689888373,-8.247790248056061,1.892440167768311e-05
286.45248117312485,-8.757542302205525,2.0344958429222986e-05
314.18823684618803,-9.317318039884134,2.18631798916732e-05
344.60950649911035,-9.932022152385562,2.3543065884521358e-05
377.97631496846196,-10.60703515472507,2.5331107474872337e-05
414.57386399033265,-11.348265945681336,2.728003387937793e-05
454.71496995311946,-12.162222625775936,2.9347908209935767e-05
498.7427376856724,-13.056033038274299,3.154808201485872e-05
547.0334931349296,-14.037536373780773,3.3856054848574707e-05
599.9999999999997,-15.115289363350067,3.673262813604858e-05
