Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.020107445922864,1.1897693443483592e-06
164.52374695419385,-6.310160863100413,2.0207936874214474e-06
180.45375541231755,-6.628672670431784,3.270164249087552e-06
197.92618661593409,-6.978434530381183,4.46797854212417e-06
217.09038561605675,-7.362513870273503,5.663534162895866e-06
238.11015779522984,-7.784274992158855,6.922550786731655e-06
261.1651689888373,-8.24741503477904,8.299962784930682e-06
286.45248117312485,-8.755992133306506,9.832403745695005e-06
314.18823684618803,-9.314459560483778,1.1557059010369326e-05
344.60950649911035,-9.92770799164678,1.341960999510293e-05
377.97631496846196,-10.601114212975544,1.5494449237941807e-05
414.57386399033265,-11.340583079155138,1.7807746131962815e-05
454.71496995311946,-12.152585515335502,2.0383578032039373e-05
498.7427376856724,-13.04423462567865,2.3263368197785894e-05
547.0334931349296,-14.023340053936018,2.642984715636317e-05
599.9999999999997,-15.098463946084042,2.9989211634468387e-05
