Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.025965578121633,1.2523735974767168e-05
164.52374695419385,-6.316126240847008,1.3560832668331137e-05
180.45375541231755,-6.634773665237174,1.4654204932628883e-05
197.92618661593409,-6.984732818230635,1.5732160765287653e-05
217.09038561605675,-7.369095181615847,1.6925191271464434e-05
238.11015779522984,-7.791212847582185,1.8232445476858704e-05
261.1651689888373,-8.254769431225283,1.9650430158158862e-05
286.45248117312485,-8.763823309322701,2.1186538527828573e-05
314.18823684618803,-9.322834368238963,2.280776099287892e-05
344.60950649911035,-9.936702318241439,2.4567894549958848e-05
377.97631496846196,-10.610808058069242,2.6455627587011517e-05
414.57386399033265,-11.35105673863775,2.8484517388045422e-05
454.71496995311946,-12.163941587554042,3.06347666397395e-05
498.7427376856724,-13.056581658456707,3.2883682114807566e-05
547.0334931349296,-14.03680236398587,3.5344474125632376e-05
599.9999999999997,-15.113185549071051,3.836226085331263e-05
