Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.023990167345338,1.3090168872707739e-05
164.52374695419385,-6.314234759156309,1.4117039429142459e-05
180.45375541231755,-6.632980305255924,1.5233408791463938e-05
197.92618661593409,-6.983019190826161,1.6448789186611395e-05
217.09038561605675,-7.3674259093634005,1.777389818701297e-05
238.11015779522984,-7.789570895892292,1.918285682149875e-05
261.1651689888373,-8.25315322569285,2.070762136733655e-05
286.45248117312485,-8.762231976255238,2.2341248519644335e-05
314.18823684618803,-9.32126271440377,2.4090217870172968e-05
344.60950649911035,-9.935150521520788,2.596742691043603e-05
377.97631496846196,-10.609288390625016,2.7966244730688968e-05
414.57386399033265,-11.349589363294198,3.010699752993017e-05
454.71496995311946,-12.162543959692874,3.24232203801104e-05
498.7427376856724,-13.055267317443347,3.493358274867982e-05
547.0334931349296,-14.035581568264718,3.7606502647048996e-05
599.9999999999997,-15.112032893327253,4.084877931197722e-05
