Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.021185030280539,1.306721509898726e-06
164.52374695419385,-6.3112629561751925,2.0890604728251746e-06
180.45375541231755,-6.629799556405943,3.2861236405641375e-06
197.92618661593409,-6.979587672744651,4.428459633579266e-06
217.09038561605675,-7.363696647467436,5.621201612112763e-06
238.11015779522984,-7.78549190764,6.934960255792882e-06
261.1651689888373,-8.248667654883437,8.35904084291344e-06
286.45248117312485,-8.757280224177945,9.915797586925595e-06
314.18823684618803,-9.315784840550487,1.1634154098971441e-05
344.60950649911035,-9.929080852847182,1.3486601674245858e-05
377.97631496846196,-10.60253719638658,1.559632460054067e-05
414.57386399033265,-11.342052013194452,1.793618562479355e-05
454.71496995311946,-12.154112152204707,2.056443443364398e-05
498.7427376856724,-13.04582187687267,2.3480691290501292e-05
547.0334931349296,-14.024991721743149,2.6700008435720294e-05
599.9999999999997,-15.100202890645676,3.0314318080705385e-05
