Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.024453529277775,1.35091017455786e-06
164.52374695419385,-6.314546003342626,2.12817726185966e-06
180.45375541231755,-6.63309806725107,3.309162647509678e-06
197.92618661593409,-6.982904004757889,4.486791322870642e-06
217.09038561605675,-7.367033387117404,5.697653250608753e-06
238.11015779522984,-7.788849385623955,6.971252328679176e-06
261.1651689888373,-8.25204571573032,8.355579270683537e-06
286.45248117312485,-8.760685203900929,9.927559194092925e-06
314.18823684618803,-9.319221339523938,1.1669478324147607e-05
344.60950649911035,-9.932549382411597,1.3582067755389576e-05
377.97631496846196,-10.606040654802621,1.569344531078419e-05
414.57386399033265,-11.345591802307908,1.8052752076128133e-05
454.71496995311946,-12.157683105734446,2.0632780535082905e-05
498.7427376856724,-13.049429330709044,2.3549959031691474e-05
547.0334931349296,-14.02863878198127,2.6789013914200433e-05
599.9999999999997,-15.103886583918646,3.0366327827591232e-05
