Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0132791035473465,1.6493388909651738e-06
164.52374695419385,-6.303765354712474,2.351911803456287e-06
180.45375541231755,-6.622751523587087,3.4422962138326467e-06
197.92618661593409,-6.973035744702874,4.5260882709203155e-06
217.09038561605675,-7.35768274263544,5.670449296099562e-06
238.11015779522984,-7.780062356139693,6.9613037093685e-06
261.1651689888373,-8.243883347088408,8.376439957671617e-06
286.45248117312485,-8.753205184202605,9.881968247350426e-06
314.18823684618803,-9.312482016693874,1.1575494491470445e-05
344.60950649911035,-9.926614916540357,1.3479435048768934e-05
377.97631496846196,-10.600982913732775,1.5585614322883627e-05
414.57386399033265,-11.341491958052611,1.7898624698533466e-05
454.71496995311946,-12.154626150523404,2.0463715767492918e-05
498.7427376856724,-13.047508880796931,2.3351002931595627e-05
547.0334931349296,-14.02795950700758,2.653039782659844e-05
599.9999999999997,-15.1045609158277,3.0062038281945845e-05
