Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.010797471731986,1.5233994276751829e-05
164.52374695419385,-6.301405481195013,1.638080909732065e-05
180.45375541231755,-6.620575670625427,1.7490095350131714e-05
197.92618661593409,-6.971123517375496,1.865254652897013e-05
217.09038561605675,-7.356120655279701,1.9988097378485462e-05
238.11015779522984,-7.778923518785467,2.146254453943084e-05
261.1651689888373,-8.24323750264328,2.3091207382370695e-05
286.45248117312485,-8.753134067950313,2.4890957598136742e-05
314.18823684618803,-9.313076714221388,2.6809389284973408e-05
344.60950649911035,-9.927972431329795,2.8833965175286177e-05
377.97631496846196,-10.603208947222253,3.099828146455891e-05
414.57386399033265,-11.344696791840471,3.340730996071442e-05
454.71496995311946,-12.158930463317281,3.5972384932350366e-05
498.7427376856724,-13.053040080063962,3.877208051475432e-05
547.0334931349296,-14.03486419181887,4.1798507944068244e-05
599.9999999999997,-15.112841064736212,4.546079663122907e-05
