Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.005659013806631,1.4970689433199027e-06
164.52374695419385,-6.2960290705624615,2.208092661724897e-06
180.45375541231755,-6.614889940530873,3.3616872567112793e-06
197.92618661593409,-6.965032894446961,4.493645690375603e-06
217.09038561605675,-7.349523791940365,5.660036827607299e-06
238.11015779522984,-7.771733139883909,6.898551885261159e-06
261.1651689888373,-8.235362699146464,8.306542240854351e-06
286.45248117312485,-8.744476116728254,9.868545797854296e-06
314.18823684618803,-9.303532788553678,1.1555100075025666e-05
344.60950649911035,-9.91742886953509,1.3442572372419762e-05
377.97631496846196,-10.591541698202496,1.5555616031098755e-05
414.57386399033265,-11.33177910208386,1.7906490743377912e-05
454.71496995311946,-12.144618303956676,2.0479921574524848e-05
498.7427376856724,-13.037177442118134,2.340690640901877e-05
547.0334931349296,-14.01726910662239,2.6720968315759313e-05
599.9999999999997,-15.093478895316169,3.0316539223366122e-05
