Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.005373996745589,1.6664985338217728e-05
164.52374695419385,-6.295944334056543,1.7942392104906864e-05
180.45375541231755,-6.615081002621224,1.93848693118326e-05
197.92618661593409,-6.965580143530871,2.0964204655339582e-05
217.09038561605675,-7.350525106475975,2.2610533723543848e-05
238.11015779522984,-7.773277612365975,2.4357650848024666e-05
261.1651689888373,-8.23752919642821,2.628025449867373e-05
286.45248117312485,-8.747350427877358,2.8350980745044006e-05
314.18823684618803,-9.307233334713162,3.0565490083897424e-05
344.60950649911035,-9.922093196599183,3.2965549459141076e-05
377.97631496846196,-10.597299997199348,3.553861963398256e-05
414.57386399033265,-11.338764561050588,3.8281486215409204e-05
454.71496995311946,-12.153006029239302,4.121835694381845e-05
498.7427376856724,-13.047162725227476,4.445002697431643e-05
547.0334931349296,-14.029076192829486,4.794008345386118e-05
599.9999999999997,-15.107078794601989,5.217616245183112e-05
