Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.024519143500588,1.5719627632162483e-05
164.52374695419385,-6.314318795537234,1.700089711308106e-05
180.45375541231755,-6.632565755983694,1.8379271629218394e-05
197.92618661593409,-6.9820499126222115,1.9858800728699138e-05
217.09038561605675,-7.36583939687304,2.1449001929650996e-05
238.11015779522984,-7.787299042414422,2.313164571009298e-05
261.1651689888373,-8.250127148550565,2.4918388762749102e-05
286.45248117312485,-8.758388658836411,2.6838641352450528e-05
314.18823684618803,-9.316539943261796,2.8883594240801417e-05
344.60950649911035,-9.929473943445256,3.107503662680998e-05
377.97631496846196,-10.602576297585262,3.343500799549484e-05
414.57386399033265,-11.341766653329238,3.588897920043412e-05
454.71496995311946,-12.153508324535903,3.8534659343964444e-05
498.7427376856724,-13.044914285083,4.133206408417279e-05
547.0334931349296,-14.023796545627755,4.437733706819961e-05
599.9999999999997,-15.098715592258795,4.8146360684975176e-05
