Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.017595221413239,1.5505544617252871e-06
164.52374695419385,-6.307302572723481,2.597915262198719e-06
180.45375541231755,-6.62543268029808,4.1619723007398376e-06
197.92618661593409,-6.974774949385443,5.640633218469846e-06
217.09038561605675,-7.358383563649282,7.176726326057985e-06
238.11015779522984,-7.779629624903103,8.829821905698277e-06
261.1651689888373,-8.242211359474302,1.0640158697215059e-05
286.45248117312485,-8.75017181157789,1.2683193211538854e-05
314.18823684618803,-9.307962507968908,1.4900954560410931e-05
344.60950649911035,-9.920470451013216,1.7353006342736098e-05
377.97631496846196,-10.59306040576113,2.002164798268623e-05
414.57386399033265,-11.331625238947252,2.3095341682716126e-05
454.71496995311946,-12.142636853861065,2.6483278945587004e-05
498.7427376856724,-13.033198145122673,3.0276671943423553e-05
547.0334931349296,-14.011105284904769,3.449036469419418e-05
599.9999999999997,-15.084916513497575,3.910194839410146e-05
