Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.013516083584431,1.57457388297101e-05
164.52374695419385,-6.303873376703562,1.7012496717410248e-05
180.45375541231755,-6.622747917771713,1.8372471230571538e-05
197.92618661593409,-6.972931440449497,1.9831143089021443e-05
217.09038561605675,-7.357487408458411,2.140712180507818e-05
238.11015779522984,-7.779777672053709,2.311873994647147e-05
261.1651689888373,-8.243502718039165,2.4969653108362396e-05
286.45248117312485,-8.752731024013137,2.6958637855962532e-05
314.18823684618803,-9.311915762224322,2.909586060878515e-05
344.60950649911035,-9.925948531805123,3.13629503066418e-05
377.97631496846196,-10.600212761132187,3.37782162899837e-05
414.57386399033265,-11.340615164416405,3.6366800152538964e-05
454.71496995311946,-12.153633881463444,3.9152221735303364e-05
498.7427376856724,-13.046376888108146,4.221270457937249e-05
547.0334931349296,-14.026663066386444,4.543087819476628e-05
599.9999999999997,-15.103072057996286,4.933603116591739e-05
