Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.010082631995692,1.5918183966387655e-05
164.52374695419385,-6.300440584624901,1.7217898616883678e-05
180.45375541231755,-6.61929824977629,1.8618669991763008e-05
197.92618661593409,-6.969443907296787,2.0142075616636855e-05
217.09038561605675,-7.353947656765875,2.1758628188381366e-05
238.11015779522984,-7.776181999255056,2.3490816972460277e-05
261.1651689888373,-8.239851406086327,2.536907912788069e-05
286.45248117312485,-8.74902381831689,2.7399669964349033e-05
314.18823684618803,-9.308150364146073,2.9561122704618127e-05
344.60950649911035,-9.922132160564779,3.186213386668583e-05
377.97631496846196,-10.596350913522706,3.4374463238780986e-05
414.57386399033265,-11.336696221130918,3.704553983990295e-05
454.71496995311946,-12.149653243719554,3.989607375954662e-05
498.7427376856724,-13.04233953089061,4.295575875388532e-05
547.0334931349296,-14.022572515739947,4.6264265925642546e-05
599.9999999999997,-15.0989275682526,5.026213461295857e-05
