Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0248904593797485,1.1546564938039182e-05
164.52374695419385,-6.3150994681933215,1.2459215068267969e-05
180.45375541231755,-6.6338164275040725,1.3420125156243505e-05
197.92618661593409,-6.983839217806427,1.4449329900727276e-05
217.09038561605675,-7.368229094469571,1.5573009842854093e-05
238.11015779522984,-7.790354383720237,1.6784412190956335e-05
261.1651689888373,-8.253914121057544,1.8072165732530004e-05
286.45248117312485,-8.762969448815427,1.9445388107639614e-05
314.18823684618803,-9.321992439531275,2.0914044761751475e-05
344.60950649911035,-9.935897375479868,2.2449794035023308e-05
377.97631496846196,-10.61006374398853,2.4097051481373306e-05
414.57386399033265,-11.350396449812752,2.5900023974537415e-05
454.71496995311946,-12.163397968139435,2.7857865752039324e-05
498.7427376856724,-13.056199507541995,2.99449780251865e-05
547.0334931349296,-14.036602118714915,3.215618086676242e-05
599.9999999999997,-15.113130378425947,3.488171626995407e-05
