Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.025274862318141,1.1656355500396154e-06
164.52374695419385,-6.315958836010638,1.8894623147633175e-06
180.45375541231755,-6.635164652247198,2.9949646260559172e-06
197.92618661593409,-6.98568827029739,3.985015180750351e-06
217.09038561605675,-7.370599371105759,5.069731194227944e-06
238.11015779522984,-7.7932681974983185,6.212935142790809e-06
261.1651689888373,-8.257398092657096,7.4518853486328416e-06
286.45248117312485,-8.767054189426604,8.850729148703823e-06
314.18823684618803,-9.326702320393412,1.0388249244339489e-05
344.60950649911035,-9.94124877617286,1.2072209736434809e-05
377.97631496846196,-10.616070685526577,1.3955030029770169e-05
414.57386399033265,-11.357074824404823,1.6028864352564752e-05
454.71496995311946,-12.170747986721064,1.8393503036807086e-05
498.7427376856724,-13.064221015299506,2.099253286898403e-05
547.0334931349296,-14.045324259711961,2.3891277842706598e-05
599.9999999999997,-15.122643438077077,2.7101979931289884e-05
