Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.003830997064918,1.7266833751113705e-06
164.52374695419385,-6.2937821242736085,2.774415785713593e-06
180.45375541231755,-6.612182549036346,4.340781300754185e-06
197.92618661593409,-6.961820221401145,5.790923057134723e-06
217.09038561605675,-7.345759065222341,7.311742779047783e-06
238.11015779522984,-7.7673677910121866,8.96007620471682e-06
261.1651689888373,-8.230343367893354,1.0795587601043034e-05
286.45248117312485,-8.73873725786179,1.2766321882565909e-05
314.18823684618803,-9.297001009358947,1.4985378133794579e-05
344.60950649911035,-9.91002669684198,1.7447364881385334e-05
377.97631496846196,-10.58318821951759,2.0184064225674707e-05
414.57386399033265,-11.32238279259265,2.3250990659116287e-05
454.71496995311946,-12.134084652263535,2.6612727091264823e-05
498.7427376856724,-13.025392875224066,3.0318165310448703e-05
547.0334931349296,-14.004114103797914,3.445806535977777e-05
599.9999999999997,-15.078824996222314,3.907937970573415e-05
