Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.02243042980177,1.57805670938697e-05
164.52374695419385,-6.3122166311624905,1.7056168813296255e-05
180.45375541231755,-6.630443577049275,1.8444036422235245e-05
197.92618661593409,-6.979906258363148,1.9939577494152006e-05
217.09038561605675,-7.363665293657862,2.1530424734457917e-05
238.11015779522984,-7.785094655062506,2.3235097617585294e-05
261.1651689888373,-8.24789038272369,2.5062352674727548e-05
286.45248117312485,-8.756106489467678,2.7019066770199057e-05
314.18823684618803,-9.314213194143553,2.9151306209960206e-05
344.60950649911035,-9.927094404841883,3.138382223229421e-05
377.97631496846196,-10.600130618485025,3.3730723730680004e-05
414.57386399033265,-11.339256064124838,3.622335205994222e-05
454.71496995311946,-12.150944305575765,3.88778198067135e-05
498.7427376856724,-13.042298192917382,4.1705736322115884e-05
547.0334931349296,-14.021146463388508,4.476190682437356e-05
599.9999999999997,-15.096061239752379,4.855178680502212e-05
