Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.012648897869787,1.5828341811606337e-05
164.52374695419385,-6.302497875564331,1.7124544321070267e-05
180.45375541231755,-6.620796106083934,1.850653598017873e-05
197.92618661593409,-6.970332843187725,2.002539256659518e-05
217.09038561605675,-7.354170854528546,2.162555449140187e-05
238.11015779522984,-7.775683490480598,2.332614495894139e-05
261.1651689888373,-8.238575200010418,2.5175644485949382e-05
286.45248117312485,-8.746908684200225,2.7154314894322448e-05
314.18823684618803,-9.305139981398437,2.9263754896539814e-05
344.60950649911035,-9.918176327160896,3.152802418796386e-05
377.97631496846196,-10.591377141411197,3.3974989752018784e-05
414.57386399033265,-11.330632508631243,3.660030698352133e-05
454.71496995311946,-12.14243249771327,3.9392047337896486e-05
498.7427376856724,-13.033891517422456,4.237377876458177e-05
547.0334931349296,-14.012817090620581,4.5584904379168175e-05
599.9999999999997,-15.087782208667111,4.948774511550273e-05
