Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.002632416521079,1.7515553615327186e-06
164.52374695419385,-6.292257373478938,2.758258152218203e-06
180.45375541231755,-6.610302579030785,4.342884291918409e-06
197.92618661593409,-6.959552770711035,5.8813817501386595e-06
217.09038561605675,-7.34306541058488,7.4238265510874005e-06
238.11015779522984,-7.764204195046328,9.090117930868441e-06
261.1651689888373,-8.226667991780424,1.0907154167355228e-05
286.45248117312485,-8.73450255720564,1.2932629734382297e-05
314.18823684618803,-9.292148871126557,1.5097028569978184e-05
344.60950649911035,-9.904502225895303,1.7559755719240498e-05
377.97631496846196,-10.576931605541825,2.0314743075149256e-05
414.57386399033265,-11.315323164580517,2.3303945484081947e-05
454.71496995311946,-12.126135722078324,2.6713793327387053e-05
498.7427376856724,-13.016476308314234,3.0454250020117924e-05
547.0334931349296,-13.99415241338256,3.4666240217858575e-05
599.9999999999997,-15.067725974999636,3.9459605230416155e-05
