Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.005568701967276,2.241862182526278e-05
164.52374695419385,-6.295337049363054,2.3767181678368165e-05
180.45375541231755,-6.613584820668102,2.5412219670764167e-05
197.92618661593409,-6.963089352203475,2.724306041523501e-05
217.09038561605675,-7.346915830966975,2.9295703521772227e-05
238.11015779522984,-7.768422031687942,3.1578097966061067e-05
261.1651689888373,-8.231304525103326,3.415946459979947e-05
286.45248117312485,-8.739627694277026,3.7010250569740575e-05
314.18823684618803,-9.297841395225207,4.011352591723794e-05
344.60950649911035,-9.91084034034088,4.3490991684587196e-05
377.97631496846196,-10.584004007646994,4.719309392558195e-05
414.57386399033265,-11.323220441954497,5.123585941667947e-05
454.71496995311946,-12.134985119770032,5.559968196666155e-05
498.7427376856724,-13.02642929429643,6.033613484248533e-05
547.0334931349296,-14.005351556640425,6.544393051907232e-05
599.9999999999997,-15.080283564836666,7.13598051707857e-05
