Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.014590076803982,1.6338714799556783e-05
164.52374695419385,-6.304469873783539,1.7642406477284454e-05
180.45375541231755,-6.622817726243504,1.9094893881016763e-05
197.92618661593409,-6.972408981737717,2.0643096370032795e-05
217.09038561605675,-7.356309919498466,2.2319271181421917e-05
238.11015779522984,-7.777890283592441,2.411040893748811e-05
261.1651689888373,-8.240838293491647,2.6036922888226323e-05
286.45248117312485,-8.749219932023095,2.8099672480177853e-05
314.18823684618803,-9.307491025689469,3.0314308250809397e-05
344.60950649911035,-9.92053976188073,3.272538611960582e-05
377.97631496846196,-10.593749175059129,3.5301500498163326e-05
414.57386399033265,-11.333019983897737,3.801513293181213e-05
454.71496995311946,-12.1448208142275,4.095894496681644e-05
498.7427376856724,-13.036260525672096,4.41086593274007e-05
547.0334931349296,-14.015178775907719,4.7492668629118264e-05
599.9999999999997,-15.090163755806085,5.1558945701194076e-05
