Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.991617902554853,1.5486856241043452e-06
164.52374695419385,-6.281206196224685,2.623531369645119e-06
180.45375541231755,-6.599210286893049,4.1805974043835075e-06
197.92618661593409,-6.948414414673168,5.654685646677447e-06
217.09038561605675,-7.331880818699649,7.236511351668093e-06
238.11015779522984,-7.752967508741564,8.844708958734242e-06
261.1651689888373,-8.21536809400245,1.0599891635366687e-05
286.45248117312485,-8.723135838368105,1.2566385026707562e-05
314.18823684618803,-9.280716290436185,1.4720798723741497e-05
344.60950649911035,-9.892993253893305,1.7118352189590077e-05
377.97631496846196,-10.565324060843611,1.9807769569048784e-05
414.57386399033265,-11.303606592725846,2.281075072986065e-05
454.71496995311946,-12.114324805999422,2.62011922518625e-05
498.7427376856724,-13.004567892043237,2.995102436604502e-05
547.0334931349296,-13.982127298596604,3.4043764882026205e-05
599.9999999999997,-15.055574277378517,3.8623421810494884e-05
