Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.993051677241128,2.4331035734323295e-05
164.52374695419385,-6.282759822758916,2.625314493181295e-05
180.45375541231755,-6.600961226323039,2.8343007443079572e-05
197.92618661593409,-6.950429025135395,3.0669423600875474e-05
217.09038561605675,-7.334226983509021,3.327997166745848e-05
238.11015779522984,-7.75572061361301,3.6141824860584186e-05
261.1651689888373,-8.218602759907867,3.926221754407365e-05
286.45248117312485,-8.726934237567187,4.2667213566424524e-05
314.18823684618803,-9.285180166096247,4.635135017592617e-05
344.60950649911035,-9.898239693922578,5.0379650192108134e-05
377.97631496846196,-10.57150102365094,5.4759477832826145e-05
414.57386399033265,-11.310860238617298,5.9536547619615386e-05
454.71496995311946,-12.12280132060894,6.473301306820829e-05
498.7427376856724,-13.014459261200036,7.036902677930962e-05
547.0334931349296,-13.993651956650647,7.64954064880153e-05
599.9999999999997,-15.06883990977164,8.353130070549738e-05
