Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.005336280504094,1.5898978383223276e-06
164.52374695419385,-6.29499464469065,2.6619871291915267e-06
180.45375541231755,-6.613078055835428,4.250285969670197e-06
197.92618661593409,-6.962367772085619,5.723488851350716e-06
217.09038561605675,-7.345924551614708,7.298304673176211e-06
238.11015779522984,-7.767115820157746,9.019669463538558e-06
261.1651689888373,-8.22963156418719,1.0878897809119609e-05
286.45248117312485,-8.73752406905704,1.2877535023206398e-05
314.18823684618803,-9.295241477835074,1.5013236809387114e-05
344.60950649911035,-9.907669165366004,1.7388067832055887e-05
377.97631496846196,-10.580175217601358,2.0091548490652543e-05
414.57386399033265,-11.318649900911613,2.3120871540064038e-05
454.71496995311946,-12.129553505415597,2.6485049415147167e-05
498.7427376856724,-13.020005135449818,3.0151967335486056e-05
547.0334931349296,-13.997799295527807,3.4375846819082184e-05
599.9999999999997,-15.071488321248443,3.9063403063500126e-05
