Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.006168399075319,1.6138680516695496e-05
164.52374695419385,-6.296006163178628,1.7448628354486708e-05
180.45375541231755,-6.614295289391679,1.887270242830865e-05
197.92618661593409,-6.963825646294038,2.0411058266403338e-05
217.09038561605675,-7.347663639457506,2.2057372056365015e-05
238.11015779522984,-7.769183778285516,2.382968426816226e-05
261.1651689888373,-8.232077411193572,2.5743797858881448e-05
286.45248117312485,-8.74040043583673,2.7789651924083233e-05
314.18823684618803,-9.298616925753322,2.9966645434608453e-05
344.60950649911035,-9.91161604828015,3.2295219242015156e-05
377.97631496846196,-10.584758142764946,3.48450709879077e-05
414.57386399033265,-11.323950169456683,3.7549171830311545e-05
454.71496995311946,-12.135677505269799,4.045950265086297e-05
498.7427376856724,-13.027057937763292,4.351085114434788e-05
547.0334931349296,-14.005904065710771,4.677669042721285e-05
599.9999999999997,-15.080772804558828,5.075635412040768e-05
