Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.008313170914433,1.878079086486925e-06
164.52374695419385,-6.298425251252313,2.8364425019045088e-06
180.45375541231755,-6.6170010794426535,4.312116364036924e-06
197.92618661593409,-6.966837234578584,5.734534299671802e-06
217.09038561605675,-7.350989851553926,7.218712092144148e-06
238.11015779522984,-7.77283279186764,8.860171631292422e-06
261.1651689888373,-8.236061463717213,1.06437764310039e-05
286.45248117312485,-8.744727760683347,1.263498637090068e-05
314.18823684618803,-9.303294075425375,1.4794444074090818e-05
344.60950649911035,-9.91664418591198,1.7226278191257943e-05
377.97631496846196,-10.590153433805947,1.9964947637754106e-05
414.57386399033265,-11.329729701333717,2.29063281008376e-05
454.71496995311946,-12.141841157667857,2.6179324305621553e-05
498.7427376856724,-13.033606953872606,2.9844137869971164e-05
547.0334931349296,-14.012834468303225,3.395654950728494e-05
599.9999999999997,-15.088090132349574,3.8524750592533425e-05
