Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.9963245782318575,2.2888773833540542e-05
164.52374695419385,-6.286508874458336,2.4692726805076027e-05
180.45375541231755,-6.605222102309573,2.6606924246011948e-05
197.92618661593409,-6.955262570571103,2.871237580682125e-05
217.09038561605675,-7.339698842920642,3.106636195310377e-05
238.11015779522984,-7.761882098405636,3.364362269818142e-05
261.1651689888373,-8.225509970793976,3.6428261122695106e-05
286.45248117312485,-8.734662182219076,3.940432116003689e-05
314.18823684618803,-9.293818139826817,4.265246463874754e-05
344.60950649911035,-9.907865084763888,4.619855932705152e-05
377.97631496846196,-10.582189771495223,5.001927254540163e-05
414.57386399033265,-11.322725922255575,5.41692652913672e-05
454.71496995311946,-12.135956086798961,5.871311960439371e-05
498.7427376856724,-13.029005229703552,6.369445327763055e-05
547.0334931349296,-14.009701787319761,6.90782278443856e-05
599.9999999999997,-15.086323753660732,7.536822549092004e-05
