Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.002746520614804,1.9605381248375143e-06
164.52374695419385,-6.292824790119445,2.926537544815512e-06
180.45375541231755,-6.611354956489349,4.4033020091162195e-06
197.92618661593409,-6.961140388453048,5.8461596690161954e-06
217.09038561605675,-7.345244177457971,7.437570229445205e-06
238.11015779522984,-7.767025002916107,9.159707782115264e-06
261.1651689888373,-8.230187503944718,1.0964672892670583e-05
286.45248117312485,-8.738786745837997,1.2913914738496219e-05
314.18823684618803,-9.297264122391557,1.5044537488388885e-05
344.60950649911035,-9.910516230608474,1.7454201825298708e-05
377.97631496846196,-10.583929289745768,2.0125276711313132e-05
414.57386399033265,-11.323400477669802,2.308174282784608e-05
454.71496995311946,-12.135397687836555,2.6363970378917243e-05
498.7427376856724,-13.027025719345952,3.0027107517032477e-05
547.0334931349296,-14.006090270398403,3.4131623736992315e-05
599.9999999999997,-15.081173777905217,3.8759977439434654e-05
