Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.988115180729522,2.571173472809677e-05
164.52374695419385,-6.278206933940565,2.7708691513425616e-05
180.45375541231755,-6.596863988855434,2.9884865931549237e-05
197.92618661593409,-6.946839537071727,3.223792943093267e-05
217.09038561605675,-7.331197993825128,3.480564174871259e-05
238.11015779522984,-7.753307604389126,3.757919506116704e-05
261.1651689888373,-8.216874164911836,4.0635669781217427e-05
286.45248117312485,-8.72596847565625,4.399187866852798e-05
314.18823684618803,-9.285054636255339,4.763472778110336e-05
344.60950649911035,-9.899046356733589,5.1624564507555195e-05
377.97631496846196,-10.573321294713807,5.597924026213932e-05
414.57386399033265,-11.31379152535071,6.077112260377466e-05
454.71496995311946,-12.126972008597601,6.599699125895321e-05
498.7427376856724,-13.019993298017695,7.16752641556453e-05
547.0334931349296,-14.000710443034833,7.78889117872221e-05
599.9999999999997,-15.077419947152979,8.49708972361306e-05
