Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.000071421036887,1.7755295369790453e-06
164.52374695419385,-6.2900315435122,2.768227051614725e-06
180.45375541231755,-6.608439184721386,4.281689481549532e-06
197.92618661593409,-6.9580817689363155,5.786003284490854e-06
217.09038561605675,-7.342031181087981,7.37381729892321e-06
238.11015779522984,-7.763654327338282,9.060758396205565e-06
261.1651689888373,-8.226640448043966,1.0866346191814775e-05
286.45248117312485,-8.735039617447338,1.2866336299342898e-05
314.18823684618803,-9.293306584364927,1.5009004798046546e-05
344.60950649911035,-9.906342169510994,1.740359214549523e-05
377.97631496846196,-10.579514278943751,2.0099689794382114e-05
414.57386399033265,-11.31871727123372,2.3101803724115454e-05
454.71496995311946,-12.130428268418843,2.6469262582680453e-05
498.7427376856724,-13.021756165919168,3.024630364211699e-05
547.0334931349296,-14.000505678291407,3.44529987145838e-05
599.9999999999997,-15.07524855134854,3.915726253929417e-05
