Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.012693690904341,1.772276109304936e-06
164.52374695419385,-6.302374841313022,2.77839070350476e-06
180.45375541231755,-6.6204802807349905,4.393032602887519e-06
197.92618661593409,-6.969796951697115,5.866966894794747e-06
217.09038561605675,-7.353385013349334,7.415168694993658e-06
238.11015779522984,-7.774609445854381,9.071755766724409e-06
261.1651689888373,-8.237157163823685,1.089026149396111e-05
286.45248117312485,-8.745077646150477,1.2844481738353213e-05
314.18823684618803,-9.302832584567222,1.5017986247957812e-05
344.60950649911035,-9.915307643569353,1.743084522422699e-05
377.97631496846196,-10.587859231776648,2.0099007517378483e-05
414.57386399033265,-11.32638338946704,2.3058922788442622e-05
454.71496995311946,-12.137348414011637,2.6376365732976774e-05
498.7427376856724,-13.027853211469639,3.0178408677283673e-05
547.0334931349296,-14.0057031056763,3.434423241353459e-05
599.9999999999997,-15.079460307118902,3.901859682171926e-05
