Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.993134926134546,1.573649512168109e-06
164.52374695419385,-6.282692758228121,2.619193960812228e-06
180.45375541231755,-6.6006640610870475,4.1825142585478796e-06
197.92618661593409,-6.949836159156926,5.696977735654781e-06
217.09038561605675,-7.333262951191372,7.2716163047349085e-06
238.11015779522984,-7.75430954646234,8.92918284199292e-06
261.1651689888373,-8.216666410853312,1.076872366465971e-05
286.45248117312485,-8.724382635655358,1.2818802243299694e-05
314.18823684618803,-9.281905154707777,1.5028724940401551e-05
344.60950649911035,-9.894122348837803,1.747523604467635e-05
377.97631496846196,-10.566397468860071,2.0231536111554655e-05
414.57386399033265,-11.304620108197748,2.3258923195464953e-05
454.71496995311946,-12.115261981039275,2.666524249011822e-05
498.7427376856724,-13.005426496480613,3.0457385591380135e-05
547.0334931349296,-13.982901116501456,3.464951244968696e-05
599.9999999999997,-15.0562508027914,3.9353859558271864e-05
