Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-5.994285020931875,2.0216311396741828e-05
164.52374695419385,-6.28438785574101,2.1757273292687294e-05
180.45375541231755,-6.603011322874416,2.3467944599623896e-05
197.92618661593409,-6.952939856353095,2.534541863559776e-05
217.09038561605675,-7.337229787078433,2.7378777599688952e-05
238.11015779522984,-7.759257621310889,2.958944258566074e-05
261.1651689888373,-8.22272553685729,3.199322464245639e-05
286.45248117312485,-8.731701773219154,3.463920551997234e-05
314.18823684618803,-9.290647812114985,3.752512579252843e-05
344.60950649911035,-9.904459336697128,4.0668726475983954e-05
377.97631496846196,-10.578519731336831,4.405145003477579e-05
414.57386399033265,-11.318742058189217,4.773589949789619e-05
454.71496995311946,-12.131647187857514,5.171007489425987e-05
498.7427376856724,-13.024360032477565,5.593976438065106e-05
547.0334931349296,-14.00472362030319,6.050352113253659e-05
599.9999999999997,-15.081210247236996,6.589337446019111e-05
