Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.010978556298223,1.9357871224391974e-06
164.52374695419385,-6.300639318285944,2.8718201937212215e-06
180.45375541231755,-6.618720340531155,4.328545840324671e-06
197.92618661593409,-6.968012662003223,5.842169147547287e-06
217.09038561605675,-7.35157233519138,7.37667345674659e-06
238.11015779522984,-7.772764223589815,9.045490004673944e-06
261.1651689888373,-8.23527827862031,1.0867925406232302e-05
286.45248117312485,-8.743163730870014,1.2899568836178732e-05
314.18823684618803,-9.300876011119907,1.5078633361642176e-05
344.60950649911035,-9.913302086130452,1.7524740790822256e-05
377.97631496846196,-10.585795854407255,2.0275314171483772e-05
414.57386399033265,-11.324257002318646,2.339904227947254e-05
454.71496995311946,-12.13516006646801,2.677765376725863e-05
498.7427376856724,-13.025607547401492,3.0515312085083208e-05
547.0334931349296,-14.003389740135978,3.4684174977223136e-05
599.9999999999997,-15.077061250122535,3.9330083560073247e-05
