Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.024681292673483,1.1331120373268507e-06
164.52374695419385,-6.314833043736501,1.87879061449163e-06
180.45375541231755,-6.633455327515334,3.0153785696490733e-06
197.92618661593409,-6.98333818777804,4.055301863972641e-06
217.09038561605675,-7.367547301861427,5.174856726408268e-06
238.11015779522984,-7.789452731609326,6.3871017168673966e-06
261.1651689888373,-8.252748311280884,7.727267925899747e-06
286.45248117312485,-8.761494473461983,9.156614155757949e-06
314.18823684618803,-9.320150490431155,1.073872145301341e-05
344.60950649911035,-9.933602848334555,1.2477906616809286e-05
377.97631496846196,-10.607231777669094,1.4361350556542135e-05
414.57386399033265,-11.346938210022127,1.6504265470144538e-05
454.71496995311946,-12.159204011608214,1.8829498571287437e-05
498.7427376856724,-13.051141466815366,2.143063084712515e-05
547.0334931349296,-14.030565134323174,2.4381724810256203e-05
599.9999999999997,-15.106055859833669,2.7712762086090795e-05
