Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.02266591888679,1.2602503017891696e-06
164.52374695419385,-6.3128309473608395,1.951299838474952e-06
180.45375541231755,-6.631466380413239,3.0078960008852383e-06
197.92618661593409,-6.981366023163121,4.0669171462458015e-06
217.09038561605675,-7.36559538570549,5.17986363932967e-06
238.11015779522984,-7.787520464788638,6.3628692269695745e-06
261.1651689888373,-8.250833857964208,7.6288585830887285e-06
286.45248117312485,-8.759599083343586,8.997939559461463e-06
314.18823684618803,-9.318278202163668,1.0521046039774432e-05
344.60950649911035,-9.93175723125854,1.223861319011498e-05
377.97631496846196,-10.605410997776234,1.4174401188246153e-05
414.57386399033265,-11.345141845898747,1.6270594364544515e-05
454.71496995311946,-12.15743234734952,1.8651561851522824e-05
498.7427376856724,-13.049400691091005,2.132328545232361e-05
547.0334931349296,-14.028854570797762,2.4280882391188994e-05
599.9999999999997,-15.104375551346175,2.758004403527728e-05
