Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.004926457959511,1.8305791916234348e-06
164.52374695419385,-6.294821504248088,2.824804230907711e-06
180.45375541231755,-6.613161729313804,4.387902696042692e-06
197.92618661593409,-6.962732944987861,5.869279043048223e-06
217.09038561605675,-7.34659873693312,7.450408822240228e-06
238.11015779522984,-7.76812682548058,9.10593734324738e-06
261.1651689888373,-8.231009147922222,1.0903206922603733e-05
286.45248117312485,-8.739299286196909,1.2908765252864536e-05
314.18823684618803,-9.297449941407464,1.512384557919078e-05
344.60950649911035,-9.910354175522174,1.7583943301833727e-05
377.97631496846196,-10.583390088581519,2.023951244462821e-05
414.57386399033265,-11.322445373503017,2.3233995476485077e-05
454.71496995311946,-12.133983323376341,2.657050643948496e-05
498.7427376856724,-13.025121356143426,3.027864398780301e-05
547.0334931349296,-14.003651961514763,3.4431661985093644e-05
599.9999999999997,-15.078139091723566,3.9074416233529454e-05
