Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.000694742361743,1.8342929026611133e-06
164.52374695419385,-6.290537665190388,2.8341804469982664e-06
180.45375541231755,-6.6088167206641355,4.43276273762754e-06
197.92618661593409,-6.958317328957885,5.960390018119365e-06
217.09038561605675,-7.342108313208196,7.50975622496892e-06
238.11015779522984,-7.763556835173739,9.199383000681444e-06
261.1651689888373,-8.226353232134626,1.1061922504685439e-05
286.45248117312485,-8.734551030625585,1.3050519915270076e-05
314.18823684618803,-9.292600040362803,1.5244661958209549e-05
344.60950649911035,-9.905385150699392,1.7687987451134446e-05
377.97631496846196,-10.57828657918089,2.0340206970897315e-05
414.57386399033265,-11.317195545855215,2.3322155481988417e-05
454.71496995311946,-12.128580794810857,2.666846781350092e-05
498.7427376856724,-13.019550331203595,3.0424296949976245e-05
547.0334931349296,-13.99790309227502,3.464483139889912e-05
599.9999999999997,-15.072221337682441,3.922055886203505e-05
